image,priority_score,failure_type,r110_dice,araa_dice,nnunet_dice,r110_recall,araa_recall,r110_boundary_iou,araa_boundary_iou,r110_gap_fp,araa_gap_fp,nnunet_gap_fp,r110_component_merge,araa_component_merge,nnunet_component_merge,r110_component_mae,araa_component_mae,nnunet_component_mae,component_deficit,merge_deficit,gap_excess,recall_buffer_vs_araa,dice_buffer_vs_araa,boundary_buffer_vs_araa
2075.png,0.932536088310218,fragmentation_risk_high_component_error,0.8923308096861816,0.8993291246957313,0.8938977886882525,0.9649195900341638,0.9466711107407716,0.1713984663115378,0.21182982054005703,0.41914331540711386,0.3307859232003019,0.39763185206151525,1.0,1.0,1.0,7.0,3.0,3.0,4.0,0.0,0.08835739220681194,0.01824847929339224,-0.006998315009549727,-0.040431354228519234
1801.png,0.8584897921761174,fragmentation_risk_high_component_error,0.9191596309600393,0.9100459432384599,0.9353262977887912,0.8885245268443415,0.8649285438393202,0.14163839805579465,0.1310165073848827,0.1941593773675873,0.1577473196041968,0.2142709552999518,0.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,0.03641205776339049,0.023595983005021304,0.009113687721579389,0.010621890670911932
1468.png,0.8279354565090259,fragmentation_risk_high_component_error,0.899671913720289,0.8864402246589997,0.9177087305448537,0.9555168387300057,0.921468685707931,0.17436248379196082,0.1583488472003437,0.38856386888137584,0.3737468763780685,0.38533000146993973,1.0,1.0,1.0,9.0,5.0,8.0,4.0,0.0,0.014816992503307314,0.034048153022074756,0.013231689061289242,0.016013636591617114
3660.png,0.6597088576363188,fragmentation_risk_high_component_error,0.9064754402144403,0.910111767186841,0.9189539546460177,0.9485380327927992,0.9341618716066307,0.2319278764224067,0.23497124934657607,0.2861666255448639,0.24636072045398472,0.2651122625215889,1.0,1.0,1.0,7.0,4.0,4.0,3.0,0.0,0.03980590509087917,0.014376161186168579,-0.003636326972400683,-0.0030433729241693686
2168.png,0.624062197446389,fragmentation_risk_high_component_error,0.9147099967717637,0.9099284524159561,0.9089767199259126,0.962411122684661,0.9460169376386939,0.251215362177929,0.23641652123327517,0.2765444686471706,0.2627798118366779,0.3095889141215183,1.0,1.0,1.0,10.0,7.0,7.0,3.0,0.0,0.01376465681049266,0.016394185045967125,0.0047815443558075765,0.014798840944653835
3736.png,0.6091062865460615,fragmentation_risk_high_component_error,0.9056628477905073,0.8984540169133193,0.9298928451299794,0.8694613789202439,0.8546917227075608,0.2598718050170135,0.2615121344119477,0.09183088909257561,0.08696150320806599,0.09068515123739689,1.0,1.0,1.0,5.0,2.0,2.0,3.0,0.0,0.004869385884509622,0.014769656212683113,0.007208830877188044,-0.0016403293949341924
3830.png,0.5954384760314286,fragmentation_risk_high_component_error,0.9131053966122104,0.9171147314489667,0.9268798577712944,0.9160007433562535,0.925199776993124,0.27247820672478207,0.2722249210590236,0.16250744081688723,0.17482485461788544,0.17216905535967764,1.0,1.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,-0.009199033636870468,-0.004009334836756362,0.00025328566575849587
2982.png,0.48096188658359273,gap_fp_candidate,0.9015703679574358,0.8913411015314248,0.9113070110090224,0.8952880286815645,0.856255222794296,0.21521573845276562,0.19922612741259385,0.2264115690743993,0.1757408168603565,0.1757408168603565,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0,0.0506707522140428,0.03903280588726854,0.010229266426011074,0.01598961104017177
6671.png,0.469608779561555,gap_fp_candidate,0.9194232663476379,0.9113687330126706,0.9203548122386777,0.9537233700199523,0.9253073308875587,0.2158637784243992,0.18422976501305482,0.2965006106034446,0.25460058112603695,0.27283446330062744,1.0,1.0,1.0,4.0,2.0,2.0,2.0,0.0,0.041900029477407674,0.028416039132393656,0.008054533334967307,0.031634013411344364
15464.png,0.4226109981837641,mixed_or_low_priority,0.9392608977366669,0.9339778367445817,0.9431246219499337,0.9317353192149562,0.9185921517780955,0.2501886624938962,0.22509366485013624,0.1550506079750017,0.1433666191155492,0.1616398342503906,1.0,1.0,1.0,5.0,3.0,3.0,2.0,0.0,0.011683988859452488,0.013143167436860725,0.005283060992085198,0.02509499764375997
