accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
0,0,,,,,,,0.0,0,0.0,0.1,0,0.4
0,0,,,,,,,0.0,0,0.0,0.15,0,0.4
1,1,0.001850975716052028,0.0011734223525954601,-0.00025641400097053957,-0.0009123187691093548,-0.0004264066403693034,-0.0006636434022785354,0.0,1,1.0,0.2,0,0.4
2,2,0.000427653765978947,0.00025028485927200417,-0.0002600364400791588,-0.0006595316667614565,-0.00041782393382006067,-0.000617067368970714,0.0,2,1.0,0.25,0,0.4
4,4,-0.0002524330100667979,-0.00026848324539839943,-0.0001287953065776115,-0.0007014237703368981,-0.00021285389436639934,-0.0005317128163761231,0.0,3,0.75,0.3,0,0.4
9,9,-0.0009502677379256049,-0.0007992583972481836,-0.000169698576278675,-0.0004263293462852597,-0.0002903223216533061,-0.0005176766098100706,0.0,8,0.8888888888888888,0.35,0,0.4
19,19,-0.0006876922530490378,-0.0005744462676123647,-0.00011914765941804137,-0.0004094841283447882,-0.0002074565194875793,-0.0004073845694712615,0.05263157894736842,17,0.8947368421052632,0.4,1,0.4
45,45,-0.0005882714107767707,-0.0004335267124221723,-0.00016417257119349444,-0.00047493206340858563,-0.000265185823443924,-0.00047851327215382185,0.15555555555555556,36,0.8,0.45,7,0.4
66,66,-0.0006584651824677807,-0.0005144272172487424,-0.00015154632154565614,-0.00042277491484641005,-0.0002533554353788337,-0.0004653325974298128,0.21212121212121213,51,0.7727272727272727,0.5,14,0.4
76,76,-0.0006065036448869149,-0.0004761410615918094,-0.00015730735319118664,-0.0004427225601844174,-0.00026599250664981785,-0.00048178251680054614,0.21052631578947367,58,0.7631578947368421,0.55,16,0.4
